2026-03-11 08:01:48 | IP:10.0.0.5 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 19:32:00 | IP:172.16.0.12 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 13:02:57 | IP:192.168.1.10 | USER:root | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 19:27:08 | IP:45.33.32.156 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 00:29:48 | IP:203.45.67.89 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 10:57:47 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 07:46:33 | IP:185.199.110.153 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 23:35:27 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 07:16:51 | IP:66.249.66.1 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 13:14:25 | IP:45.33.32.156 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 01:44:04 | IP:203.45.67.89 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 01:27:38 | IP:203.45.67.89 | USER:admin | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 05:16:37 | IP:66.249.66.1 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 06:38:29 | IP:66.249.66.1 | USER:test | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 21:25:23 | IP:45.33.32.156 | USER:developer | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 12:39:55 | IP:66.249.66.1 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 21:15:13 | IP:66.249.66.1 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 01:33:41 | IP:203.45.67.89 | USER:test | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 13:24:54 | IP:10.0.0.5 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 08:29:29 | IP:203.45.67.89 | USER:user1 | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 11:39:49 | IP:10.0.0.5 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 12:43:15 | IP:192.168.1.10 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 23:36:17 | IP:172.16.0.12 | USER:user1 | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 05:58:12 | IP:192.168.1.10 | USER:guest | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 07:16:03 | IP:203.45.67.89 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 14:21:08 | IP:172.16.0.12 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 18:17:47 | IP:185.199.110.153 | USER:developer | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 03:44:22 | IP:66.249.66.1 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 13:55:24 | IP:10.0.0.5 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 14:54:13 | IP:66.249.66.1 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 12:33:36 | IP:185.199.110.153 | USER:admin | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 19:49:19 | IP:203.45.67.89 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 14:30:18 | IP:185.199.110.153 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 23:43:18 | IP:45.33.32.156 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 18:48:07 | IP:185.199.110.153 | USER:admin | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 22:37:08 | IP:185.199.110.153 | USER:test | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 00:19:39 | IP:10.0.0.5 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 10:47:33 | IP:192.168.1.10 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 23:04:45 | IP:10.0.0.5 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 21:28:08 | IP:172.16.0.12 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 20:46:14 | IP:185.199.110.153 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 07:10:41 | IP:172.16.0.12 | USER:developer | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 15:49:04 | IP:203.45.67.89 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 04:15:35 | IP:172.16.0.12 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 23:20:17 | IP:45.33.32.156 | USER:developer | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 15:12:13 | IP:45.33.32.156 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 07:52:12 | IP:172.16.0.12 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 23:47:56 | IP:203.45.67.89 | USER:guest | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 11:14:41 | IP:10.0.0.5 | USER:admin | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 13:41:19 | IP:10.0.0.5 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 05:37:55 | IP:192.168.1.10 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 23:16:21 | IP:10.0.0.5 | USER:user1 | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-11 05:44:19 | IP:185.199.110.153 | USER:root | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 02:05:02 | IP:203.45.67.89 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 11:53:57 | IP:172.16.0.12 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 18:50:50 | IP:66.249.66.1 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 14:15:44 | IP:45.33.32.156 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 16:42:56 | IP:66.249.66.1 | USER:root | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-11 04:47:29 | IP:185.199.110.153 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 15:52:47 | IP:192.168.1.10 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 06:10:56 | IP:185.199.110.153 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 20:09:42 | IP:66.249.66.1 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 00:14:03 | IP:172.16.0.12 | USER:user1 | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-11 04:25:20 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 14:38:02 | IP:192.168.1.10 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 12:17:21 | IP:10.0.0.5 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 23:02:22 | IP:172.16.0.12 | USER:developer | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 17:28:24 | IP:45.33.32.156 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 19:17:40 | IP:185.199.110.153 | USER:guest | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 02:54:13 | IP:45.33.32.156 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 01:24:46 | IP:192.168.1.10 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 18:41:11 | IP:10.0.0.5 | USER:root | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 22:38:28 | IP:45.33.32.156 | USER:root | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 09:04:10 | IP:10.0.0.5 | USER:guest | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 04:53:04 | IP:66.249.66.1 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 17:26:56 | IP:203.45.67.89 | USER:admin | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 02:54:45 | IP:185.199.110.153 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 17:20:34 | IP:185.199.110.153 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 01:27:59 | IP:192.168.1.10 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 09:24:17 | IP:66.249.66.1 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 15:12:48 | IP:10.0.0.5 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 04:23:28 | IP:203.45.67.89 | USER:admin | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 09:45:15 | IP:10.0.0.5 | USER:admin | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 06:15:37 | IP:45.33.32.156 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 20:39:16 | IP:66.249.66.1 | USER:test | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 22:32:33 | IP:10.0.0.5 | USER:user1 | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 07:09:50 | IP:185.199.110.153 | USER:test | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 00:11:07 | IP:172.16.0.12 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 18:08:52 | IP:203.45.67.89 | USER:admin | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 14:44:52 | IP:66.249.66.1 | USER:root | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 02:34:12 | IP:172.16.0.12 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 23:56:25 | IP:172.16.0.12 | USER:developer | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 05:48:15 | IP:203.45.67.89 | USER:user1 | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 10:03:33 | IP:66.249.66.1 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 06:28:12 | IP:172.16.0.12 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 00:26:48 | IP:10.0.0.5 | USER:test | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 07:00:04 | IP:10.0.0.5 | USER:test | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 00:07:50 | IP:185.199.110.153 | USER:developer | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 09:43:32 | IP:203.45.67.89 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 14:04:22 | IP:185.199.110.153 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 07:37:08 | IP:10.0.0.5 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 03:54:43 | IP:10.0.0.5 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 14:54:57 | IP:192.168.1.10 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 11:16:52 | IP:45.33.32.156 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 01:25:45 | IP:185.199.110.153 | USER:user1 | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 02:39:42 | IP:192.168.1.10 | USER:guest | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 19:10:20 | IP:172.16.0.12 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 14:33:44 | IP:66.249.66.1 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 04:35:15 | IP:10.0.0.5 | USER:test | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 04:34:42 | IP:45.33.32.156 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 19:03:38 | IP:66.249.66.1 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 15:16:46 | IP:192.168.1.10 | USER:test | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 06:17:01 | IP:45.33.32.156 | USER:root | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 00:56:25 | IP:66.249.66.1 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 23:45:31 | IP:10.0.0.5 | USER:test | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 06:01:38 | IP:45.33.32.156 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 03:09:47 | IP:45.33.32.156 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 06:40:21 | IP:45.33.32.156 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 23:04:24 | IP:10.0.0.5 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 08:30:51 | IP:185.199.110.153 | USER:root | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 12:24:03 | IP:66.249.66.1 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 09:04:55 | IP:185.199.110.153 | USER:admin | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-11 02:15:21 | IP:203.45.67.89 | USER:test | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 17:17:31 | IP:172.16.0.12 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 19:52:00 | IP:185.199.110.153 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 23:34:42 | IP:185.199.110.153 | USER:test | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-11 04:57:57 | IP:66.249.66.1 | USER:developer | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 15:35:35 | IP:66.249.66.1 | USER:developer | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 15:10:58 | IP:185.199.110.153 | USER:admin | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 12:27:42 | IP:192.168.1.10 | USER:admin | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 13:35:43 | IP:192.168.1.10 | USER:test | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 14:58:56 | IP:45.33.32.156 | USER:root | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 22:49:36 | IP:66.249.66.1 | USER:guest | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 14:03:42 | IP:10.0.0.5 | USER:user1 | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 13:40:55 | IP:45.33.32.156 | USER:test | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 06:38:59 | IP:203.45.67.89 | USER:admin | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 04:08:22 | IP:185.199.110.153 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 20:04:01 | IP:10.0.0.5 | USER:user1 | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 01:03:49 | IP:45.33.32.156 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 10:59:44 | IP:192.168.1.10 | USER:user1 | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 00:58:14 | IP:172.16.0.12 | USER:developer | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 06:53:08 | IP:192.168.1.10 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 20:47:07 | IP:172.16.0.12 | USER:admin | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 00:26:14 | IP:172.16.0.12 | USER:developer | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 20:28:31 | IP:203.45.67.89 | USER:developer | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 10:48:23 | IP:66.249.66.1 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 21:32:26 | IP:66.249.66.1 | USER:test | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 09:48:31 | IP:203.45.67.89 | USER:test | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 06:05:26 | IP:66.249.66.1 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 16:45:54 | IP:66.249.66.1 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 07:07:46 | IP:172.16.0.12 | USER:user1 | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 11:32:55 | IP:192.168.1.10 | USER:guest | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 12:46:00 | IP:10.0.0.5 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 12:19:12 | IP:192.168.1.10 | USER:root | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-11 07:38:27 | IP:203.45.67.89 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 02:00:35 | IP:203.45.67.89 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 20:01:20 | IP:172.16.0.12 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 07:44:05 | IP:192.168.1.10 | USER:guest | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 16:47:01 | IP:66.249.66.1 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 11:53:20 | IP:192.168.1.10 | USER:admin | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 09:57:47 | IP:185.199.110.153 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 07:11:24 | IP:203.45.67.89 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 04:20:00 | IP:192.168.1.10 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 12:31:33 | IP:203.45.67.89 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 14:10:48 | IP:203.45.67.89 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 07:59:36 | IP:192.168.1.10 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 18:58:48 | IP:66.249.66.1 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 01:32:34 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 15:45:39 | IP:10.0.0.5 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 22:01:27 | IP:203.45.67.89 | USER:admin | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 21:20:39 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 07:56:51 | IP:172.16.0.12 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 15:48:49 | IP:45.33.32.156 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 00:00:42 | IP:10.0.0.5 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 21:43:23 | IP:192.168.1.10 | USER:test | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 17:22:06 | IP:185.199.110.153 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 11:12:51 | IP:66.249.66.1 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 07:24:12 | IP:203.45.67.89 | USER:developer | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 14:51:40 | IP:45.33.32.156 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 08:25:41 | IP:45.33.32.156 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 17:16:48 | IP:185.199.110.153 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 18:09:42 | IP:192.168.1.10 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-10 23:21:48 | IP:45.33.32.156 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 13:10:37 | IP:66.249.66.1 | USER:test | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 17:23:04 | IP:10.0.0.5 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 21:44:29 | IP:185.199.110.153 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 21:53:25 | IP:66.249.66.1 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 05:41:42 | IP:10.0.0.5 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 21:20:56 | IP:203.45.67.89 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 05:14:07 | IP:185.199.110.153 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 20:45:28 | IP:10.0.0.5 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 20:07:37 | IP:172.16.0.12 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-11 03:25:00 | IP:66.249.66.1 | USER:root | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 12:53:13 | IP:172.16.0.12 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 20:11:54 | IP:66.249.66.1 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 03:26:44 | IP:10.0.0.5 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 11:12:20 | IP:45.33.32.156 | USER:user1 | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 22:36:45 | IP:203.45.67.89 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 16:23:02 | IP:66.249.66.1 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-11 07:46:46 | IP:203.45.67.89 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-11 08:17:15 | IP:66.249.66.1 | USER:admin | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 06:00:24 | IP:185.199.110.153 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
