2026-02-19 11:01:37 | IP:10.0.0.5 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 19:01:57 | IP:172.16.0.12 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 18:39:01 | IP:172.16.0.12 | USER:root | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 03:12:55 | IP:66.249.66.1 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-18 22:58:14 | IP:172.16.0.12 | USER:developer | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 03:49:17 | IP:45.33.32.156 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 11:23:34 | IP:192.168.1.10 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 06:20:41 | IP:185.199.110.153 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 13:12:22 | IP:203.45.67.89 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 03:57:15 | IP:185.199.110.153 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 07:23:33 | IP:10.0.0.5 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 11:08:28 | IP:66.249.66.1 | USER:admin | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-02-18 22:44:32 | IP:203.45.67.89 | USER:test | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 00:00:02 | IP:66.249.66.1 | USER:developer | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-18 22:42:06 | IP:185.199.110.153 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 01:33:39 | IP:185.199.110.153 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-18 19:18:12 | IP:10.0.0.5 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 09:29:30 | IP:203.45.67.89 | USER:admin | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 09:19:38 | IP:192.168.1.10 | USER:guest | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 04:07:34 | IP:192.168.1.10 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 16:49:28 | IP:192.168.1.10 | USER:guest | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 06:28:29 | IP:172.16.0.12 | USER:developer | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-02-18 16:36:54 | IP:66.249.66.1 | USER:admin | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 09:59:29 | IP:10.0.0.5 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 09:14:53 | IP:185.199.110.153 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 11:03:59 | IP:185.199.110.153 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-19 09:40:49 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-02-18 18:15:25 | IP:203.45.67.89 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 09:43:42 | IP:66.249.66.1 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-18 17:44:16 | IP:203.45.67.89 | USER:user1 | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 18:46:27 | IP:45.33.32.156 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-18 23:31:14 | IP:203.45.67.89 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 10:00:06 | IP:66.249.66.1 | USER:developer | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-02-19 04:30:23 | IP:66.249.66.1 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 13:46:11 | IP:45.33.32.156 | USER:admin | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 12:28:17 | IP:45.33.32.156 | USER:developer | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-19 09:13:37 | IP:66.249.66.1 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 13:22:35 | IP:172.16.0.12 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-18 22:17:22 | IP:192.168.1.10 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 13:34:02 | IP:203.45.67.89 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 14:28:43 | IP:192.168.1.10 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 07:42:47 | IP:10.0.0.5 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 08:00:53 | IP:172.16.0.12 | USER:user1 | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 04:52:35 | IP:185.199.110.153 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 23:42:33 | IP:185.199.110.153 | USER:developer | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 16:12:24 | IP:45.33.32.156 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 16:22:15 | IP:185.199.110.153 | USER:admin | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-18 19:54:05 | IP:66.249.66.1 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 14:24:59 | IP:172.16.0.12 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 11:06:52 | IP:192.168.1.10 | USER:admin | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 09:49:07 | IP:203.45.67.89 | USER:test | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 06:18:14 | IP:185.199.110.153 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 17:29:12 | IP:203.45.67.89 | USER:root | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-18 21:16:20 | IP:66.249.66.1 | USER:developer | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 08:51:47 | IP:172.16.0.12 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 12:41:17 | IP:185.199.110.153 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-19 14:51:56 | IP:66.249.66.1 | USER:developer | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-18 21:21:42 | IP:192.168.1.10 | USER:developer | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 05:54:37 | IP:172.16.0.12 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-02-18 22:42:01 | IP:66.249.66.1 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 08:44:38 | IP:66.249.66.1 | USER:guest | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-02-19 15:46:30 | IP:66.249.66.1 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 06:45:29 | IP:172.16.0.12 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 09:05:54 | IP:185.199.110.153 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 13:01:04 | IP:45.33.32.156 | USER:developer | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 03:08:23 | IP:203.45.67.89 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 05:43:17 | IP:192.168.1.10 | USER:developer | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 03:38:08 | IP:192.168.1.10 | USER:test | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-18 17:39:27 | IP:192.168.1.10 | USER:test | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 02:46:36 | IP:185.199.110.153 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 06:04:06 | IP:203.45.67.89 | USER:developer | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-19 15:38:42 | IP:66.249.66.1 | USER:test | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 11:42:06 | IP:203.45.67.89 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 01:08:10 | IP:66.249.66.1 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
